"local_path","size_bytes","image_url"
"百度AI外部合作手册/26.jpg","356697","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0043-9690bd1d52ca.jpg"
"百度AI外部合作手册/3.jpg","831218","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0044-67ecda8ecc36.jpg"
"百度AI外部合作手册/4.jpg","915771","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0045-3a7052e3ee90.jpg"
"百度AI外部合作手册/5.jpg","1065153","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0046-f8d252c97d45.jpg"
"百度AI外部合作手册/6.jpg","1023885","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0047-a9c974902ac1.jpg"
"百度AI外部合作手册/7.jpg","747568","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0048-e82d4bfa7e42.jpg"
"百度AI外部合作手册/8.jpg","720137","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0049-e81acbac62ab.jpg"
"百度AI外部合作手册/9.jpg","1133998","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0050-237a37ee3eda.jpg"
"百度AI外部合作手册/封面.jpg","738409","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0051-0b27451067e3.jpg"
"百度地图V21发布/1.jpg","1142997","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0052-d77cbac7d50c.jpg"
"百度地图V21发布/10.jpg","1310309","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0053-b3d15af8c049.jpg"
"百度地图V21发布/11.jpg","572666","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0054-5e21bc9e190b.jpg"
"百度地图V21发布/12.jpg","749470","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0055-98ef5fdd4843.jpg"
"百度地图V21发布/19.jpg","503881","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0056-1af390672ff4.jpg"
"百度地图V21发布/2.jpg","728291","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0057-1534e3b74d01.jpg"
"百度地图V21发布/20.jpg","1150098","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0058-07b31227d781.jpg"
"百度地图V21发布/22.jpg","868756","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0059-1751751644c1.jpg"
"百度地图V21发布/23.jpg","776366","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0060-98a4b9fea86d.jpg"
"百度地图V21发布/29.jpg","664774","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0061-9a0c6fc950d1.jpg"
"百度地图V21发布/3.jpg","1079366","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0062-79784813af9e.jpg"
"百度地图V21发布/34.jpg","800431","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0063-6142c38a8026.jpg"
"百度地图V21发布/35.jpg","986759","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0064-0e1308cd5b05.jpg"
"百度地图V21发布/36.jpg","836390","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0065-10512b5262ab.jpg"
"百度地图V21发布/37.jpg","751715","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0066-79f088790af9.jpg"
"百度地图V21发布/4.jpg","524865","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0067-470f89586265.jpg"
"百度地图V21发布/41.jpg","1142401","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0068-7e232e035278.jpg"
"百度地图V21发布/5.jpg","671893","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0069-0278c11b57ad.jpg"
"百度地图V21发布/6.jpg","1244733","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0070-f5e21954f804.jpg"
"百度地图V21发布/7.jpg","948414","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0071-935a9c9cf289.jpg"
